"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AOC3",-3.43984780620686,8.7398803928402,-16.3346963704441,2.03392686189053e-37,1.65015028713756e-35,74.4539502911462
"HBA1 /// HBA2",-3.65719154521168,10.4182972895561,-16.3221859179218,2.20947162636847e-37,1.78143796160802e-35,74.3715603354732
"GPAM",-3.97459689596598,8.09223459991384,-16.2282382811809,4.11579612713347e-37,3.18018747180473e-35,73.7524493782167
"LINC00341 /// SYNE3",-2.59137584517877,8.31184175505055,-16.1941438345196,5.15910905524677e-37,3.89362759570688e-35,73.5275952815289
"IGFBP6",-2.72255864737297,8.27140427185778,-16.1495102049767,6.93563601767407e-37,5.14465663688155e-35,73.2330974348838
"LOC100996506 /// RETSAT",-2.40463704313798,7.15787111482202,-16.1481530831281,6.99833696474542e-37,5.1456048178978e-35,73.2241405622675
"PAFAH1B3",2.4661737672467,8.48375254998188,16.0713183671065,1.16515083250404e-36,8.44962176353904e-35,72.7168077488332
"NPR3",-2.00104599708973,5.62104139167085,-16.0053780952733,1.80523952582521e-36,1.30187857137428e-34,72.2810521769756
"AKR1C2 /// LOC101930400",-2.6701083086541,7.48733421368328,-15.9934189792751,1.95450465695537e-36,1.40173618518992e-34,72.2019873681279
"SPINT2",2.90343627062573,10.3451935264053,15.9540765754805,2.53846783266491e-36,1.79086146390344e-34,71.9418096624582
"PCOLCE2",-4.51266133113433,6.9264436264094,-15.9498709276969,2.61042574604068e-36,1.83167224915428e-34,71.91399026814
"SAA1 /// SAA2 /// SAA2-SAA4",-3.67737536276231,8.68795363494262,-15.8749965392436,4.29469273928053e-36,2.9497040448995e-34,71.4184971208785
"ADH1B",-3.47128226216538,6.83350993067826,-15.827680899087,5.88383429444701e-36,4.00485323957951e-34,71.1051696939672
"SEMA3G",-2.88032728138967,7.83199817001473,-15.8274555396594,5.89266596379083e-36,4.00485323957951e-34,71.1036769661454
"LRRN3",-2.24416951551258,5.9380845005212,-15.7809346958891,8.03177498051119e-36,5.37425108360906e-34,70.7954569818899
"EDNRB",-2.16483728328436,6.29136404609639,-15.7752249068822,8.34303557024618e-36,5.55389460191619e-34,70.7576167636969
